dmdcode,bnf
11258911000001103,06010103
11260411000001104,07040500
11260711000001105,07040500
11261611000001106,10030250
112665001000027108,01060200
11268111000001106,01060200
11269911000001101,02050400
11270611000001109,04030300
11271011000001106,03110000
11271411000001102,03110000
11272011000001103,03110000
11272611000001105,09050202
11272911000001104,09050202
112795001000027103,01060300
112805001000027103,01060200
112815001000027101,01060200
11295001000027102,09010101
11311000001108,02020400
113115001000027102,04030100
113211000001106,02120400
113485001000027101,04020100
113495001000027102,04020100
1135001000027108,09045002
113511000001109,02040000
11355001000027101,03090100
11359411000001106,10010500
11376111000001106,09060200
11381011000001108,01060500
11390711000001101,01010201
11391011000001107,06040200
11391311000001105,06040200
11393511000001100,10010500
11399011000001106,02060200
114045001000027103,06010120
114095001000027106,06010110
114105001000027101,04020200
114111000001103,01030100
11415411000001109,04070200
114155001000027109,06010102
114175001000027107,06010102
114295001000027100,10010120
11430711000001102,09040254
114315001000027109,02060100
114405001000027102,02060100
114411000001108,10010100
114415001000027100,02060100
11445001000027109,09010101
114475001000027108,06030000
11449611000001101,03010501
114525001000027103,02060100
11452911000001100,06010103
11453111000001109,06010103
11456111000001104,03110000
11456311000001102,03110000
11471111000001106,09040254
11473711000001108,06010203
11475111000001108,04080100
11475211000001102,04080100
11475311000001105,04080100
11475411000001103,04080100
11475611000001100,04080100
11475911000001106,04080100
11476211000001108,04080100
11476811000001109,06040101
11485111000001102,04090300
11490211000001100,01030600
11490311000001108,04010100
114915001000027102,06010203
11493211000001105,02060200
114935001000027108,09010200
11493511000001108,09040300
11494111000001102,06010203
11494211000001108,06010203
11494611000001105,06010203
11494811000001109,06010203
114955001000027107,06010203
115011000001100,04090200
11506711000001103,02060200
11507011000001102,02080100
115075001000027107,04020100
11507911000001103,04070100
11508211000001106,09040253
11508711000001104,10030100
11508911000001102,10030100
11509111000001107,10030100
11509311000001109,02080100
11509411000001102,09040253
115095001000027103,04020100
115105001000027108,04020100
115111000001104,09040251
115115001000027105,04020100
115155001000027100,06030000
115211000001105,02050501
11522511000001100,09040300
11523011000001104,09040300
11523311000001101,09040300
115235001000027102,09010101
11523511000001107,09040300
11523711000001102,09040300
11524111000001101,09040300
11524911000001103,09040300
11525001000027100,10010100
11525411000001107,09040300
115285001000027105,09010110
11530411000001103,04070200
115311000001102,09040401
115335001000027106,09010101
115345001000027107,10010100
11535211000001106,09040300
115355001000027105,10010100
11535611000001108,09040300
11536111000001106,09040300
11536311000001108,09040300
115365001000027101,09010101
11536511000001102,09040300
11536711000001107,09060700
115375001000027108,09010101
115395001000027104,09010101
11542611000001103,09040300
11548311000001106,04105100
11548611000001101,04100200
11549311000001100,09040251
115495001000027105,03010101
11549611000001105,09060700
11550011000001108,09040251
11550711000001105,01050200
11550911000001107,01050200
11551911000001100,01030500
11552111000001108,01030500
11556711000001108,09040251
11556911000001105,09040251
11558511000001102,06040200
11558811000001104,09010200
115595001000027101,09010300
11564011000001106,06040200
11567711000001101,07060000
115711000001103,04070100
115735001000027107,02020100
115745001000027108,03010400
11575001000027101,09010101
11577911000001105,03110000
11579211000001107,04070100
11580911000001103,09040300
115811000001106,06010202
11581211000001101,04030300
11581911000001105,09060700
11583711000001109,01060500
11584411000001100,09060700
11584711000001106,09060700
11585001000027106,09010101
11585011000001108,09060700
11588311000001102,01060400
11588711000001103,07040500
11589411000001101,09060200
115895001000027102,04070100
11590211000001106,04030300
115905001000027105,04070100
115915001000027107,04070100
11592111000001101,04070200
11592311000001104,04070200
11594511000001100,09060200
11599411000001100,06010202
116045001000027108,02020400
11605001000027102,03090100
116065001000027102,02020400
116085001000027104,02020400
11611611000001107,09060300
11612811000001102,09040300
116145001000027100,02020400
11619211000001106,08020200
116195001000027108,02020100
11619611000001108,08020200
11620011000001100,08020200
116211000001104,04010100
11624411000001103,06010103
116365001000027103,01010101
116405001000027109,01010102
116415001000027106,01010102
116465001000027105,09010200
116475001000027103,04010200
11649511000001103,08020200
11650311000001103,02010100
116505001000027101,04070200
11650511000001109,02010100
11651311000001108,10010100
